xlsPBID,xlsMemberID,FR25,FR50,FR100,FR200,FR400,BR25,BR50,BR100,BR200,BR400,BA25,BA50,BA100,BA200,BA400,BU25,BU50,BU100,BU200,BU400,ME25,ME50,ME100,ME200,ME400
37,39,00:00:23.8100000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:35.6500000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:28.9600000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:30.1900000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
38,40,00:00:22.2900000,00:00:44.4600000,00:00:00,00:00:00,00:00:00,00:00:30.3100000,00:00:56.0600000,00:02:08.9200000,00:00:00,00:00:00,00:00:28.5300000,00:00:53.9700000,00:02:04.6300000,00:00:00,00:00:00,00:00:25.1600000,00:01:01.6700000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
39,41,00:00:18.7200000,00:00:40.5000000,00:01:32,00:00:00,00:00:00,00:00:27.5600000,00:01:00.5300000,00:00:00,00:00:00,00:00:00,00:00:23,00:00:49.6300000,00:00:00,00:00:00,00:00:00,00:00:20.6900000,00:00:55.1700000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
40,42,00:00:22.2500000,00:00:51.9700000,00:00:00,00:00:00,00:00:00,00:00:32.3400000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:27.4100000,00:01:10.9000000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
41,43,00:00:00,00:00:38,00:00:00,00:00:00,00:00:00,00:00:00,00:01:01.1300000,00:00:00,00:00:00,00:00:00,00:00:26.4400000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:31.7200000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
42,44,00:00:00,00:00:35.2800000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:55,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
43,45,00:00:18.4400000,00:00:31.2200000,00:00:00,00:00:00,00:00:00,00:00:27.0700000,00:00:44.9400000,00:01:49.7800000,00:00:00,00:00:00,00:00:22.7200000,00:00:43.3700000,00:00:00,00:00:00,00:00:00,00:00:23.6800000,00:00:45.6200000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
44,47,00:00:24.4300000,00:01:05.7500000,00:00:00,00:00:00,00:00:00,00:00:36.6200000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:30.6100000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
45,48,00:00:20.2200000,00:00:38.4800000,00:01:35.9400000,00:00:00,00:00:00,00:00:26.2800000,00:00:45.0300000,00:01:48.5200000,00:00:00,00:00:00,00:00:27.4400000,00:00:43.2800000,00:00:00,00:00:00,00:00:00,00:00:25.2200000,00:00:51.1000000,00:01:49.9100000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
46,49,00:00:00,00:00:29.9700000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:45.3800000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:38.7200000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:38.5600000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
47,50,00:00:18.0500000,00:00:42.6800000,00:00:00,00:00:00,00:00:00,00:00:30.1900000,00:01:01.5000000,00:00:00,00:00:00,00:00:00,00:00:24.3500000,00:01:00.3100000,00:00:00,00:00:00,00:00:00,00:00:24.6000000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
48,51,00:00:41.6000000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:56.8700000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:45.2800000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
49,52,00:00:31,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:27,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
50,53,00:00:26.6300000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:37.0300000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:37.3200000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
51,54,00:00:22.1600000,00:00:49.9000000,00:00:00,00:00:00,00:00:00,00:00:33.5000000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:27,00:00:00,00:00:00,00:00:00,00:00:00,00:00:27.0300000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
52,55,00:00:00,00:00:36.6600000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:51.8100000,00:01:58.7600000,00:00:00,00:00:00,00:00:00,00:00:41.9000000,00:01:44.8200000,00:00:00,00:00:00,00:00:18.9900000,00:00:47.4500000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:01:35.9300000,00:00:00,00:00:00
53,56,00:00:20.1900000,00:00:42.6600000,00:00:00,00:00:00,00:00:00,00:00:32.7200000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:27.2100000,00:00:53.6600000,00:00:00,00:00:00,00:00:00,00:00:25.6200000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
54,57,00:00:24.3300000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:36.5600000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:29.8400000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:30.9300000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
55,58,00:00:25.6600000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:36.9900000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:30.7500000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:35.2500000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
56,59,00:00:20.1600000,00:00:44.5000000,00:00:00,00:00:00,00:00:00,00:00:29.7200000,00:01:00.0800000,00:00:00,00:00:00,00:00:00,00:00:29.8100000,00:01:07.8300000,00:00:00,00:00:00,00:00:00,00:00:21.6000000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
57,60,00:00:22,00:00:51.3500000,00:00:00,00:00:00,00:00:00,00:00:35.3600000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:31.2400000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:28.8700000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
58,61,00:00:32.6300000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:43.3500000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:44.0600000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
59,62,00:00:19.9900000,00:00:45.4700000,00:00:00,00:00:00,00:00:00,00:00:25.8700000,00:01:00.2500000,00:00:00,00:00:00,00:00:00,00:00:25.8700000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
60,63,00:00:31.8400000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:38.8700000,00:01:29.4200000,00:00:00,00:00:00,00:00:00,00:00:32,00:00:00,00:00:00,00:00:00,00:00:00,00:00:35.4000000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
